순위,아티스트,곡명,앨범
1,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
2,아로하,조정석,슬기로운 의사생활 OST Part 3
3,MORE & MORE,TWICE (트와이스),MORE & MORE
4,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11
5,환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원),Oneiric Diary (幻想日記)
6,Downtown Baby,블루 (BLOO),Downtown Baby
7,살짝 설렜어 (Nonstop),오마이걸,NONSTOP
8,깡 Official Remix,식케이 (Sik-K),깡 Official Remix
9,ON,방탄소년단,MAP OF THE SOUL : 7
10,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비
11,Candy,백현 (BAEKHYUN),Delight - The 2nd Mini Album
12,Dance Monkey,Tones And I,The Kids Are Coming
13,Dolphin,오마이걸,NONSTOP
14,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2
15,언제라도 어디에서라도,정승환,언제라도 어디에서라도
16,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
17,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
18,Memories,Maroon 5,Memories
19,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12
20,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
21,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
22,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4
23,아무노래,지코 (ZICO),아무노래
24,Don't Start Now,Dua Lipa,Future Nostalgia
25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
26,METEOR,창모 (CHANGMO),Boyhood
27,Blueming,아이유,Love poem
28,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ
29,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
30,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1
31,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7
32,덤더럼(Dumhdurum),Apink (에이핑크),LOOK
33,Black Swan,방탄소년단,MAP OF THE SOUL : 7
34,친구,방탄소년단,MAP OF THE SOUL : 7
35,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5
36,Filter,방탄소년단,MAP OF THE SOUL : 7
37,2002,Anne-Marie,Speak Your Mind (Deluxe)
38,Moon,방탄소년단,MAP OF THE SOUL : 7
39,시차,방탄소년단,MAP OF THE SOUL : 7
40,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7
41,내 눈물 모아,휘인 (Whee In),슬기로운 의사생활 OST Part 8
42,마음을 드려요,아이유,사랑의 불시착 OST Part 11
43,Inner Child,방탄소년단,MAP OF THE SOUL : 7
44,Bungee,백현 (BAEKHYUN),Delight - The 2nd Mini Album
45,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7
46,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7
47,Love Again,백현 (BAEKHYUN),Delight - The 2nd Mini Album
48,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
49,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3
50,어떻게 지내 (답가),런치,어떻게 지내 (답가)
51,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7
52,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
53,그때 그 아인,김필,이태원 클라쓰 OST Part.6
54,Maniac,Conan Gray,Maniac
55,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7
56,Respect,방탄소년단,MAP OF THE SOUL : 7
57,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2
58,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
59,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
60,썸 타긴 뭘 타,백아연,썸 타긴 뭘 타
61,Poppin',백현 (BAEKHYUN),Delight - The 2nd Mini Album
62,WANNABE,ITZY (있지),IT'z ME
63,취했나봐,황인욱,취했나봐
64,Underwater,백현 (BAEKHYUN),Delight - The 2nd Mini Album
65,안부 (feat.찬열),이선희,안부
66,Obsession,EXO,OBSESSION - The 6th Album
67,R U Ridin'?,백현 (BAEKHYUN),Delight - The 2nd Mini Album
68,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트
69,Happy,태연 (TAEYEON),Happy
70,Ghost,백현 (BAEKHYUN),Delight - The 2nd Mini Album
71,반만,진민호,반만
72,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
73,회전목마 (Merry-Go-Round),IZ*ONE (아이즈원),Oneiric Diary (幻想日記)
74,"Yours (Feat. 이하이, 창모)",Raiden,"Yours (Feat. 이하이, 창모)"
75,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
76,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적
77,바램,임영웅,내일은 미스터트롯 예선곡 베스트
78,"사랑, 하자",수호 (SUHO),자화상 - The 1st Mini Album
79,찐이야,영탁,내일은 미스터트롯 결승전 베스트
80,봄날,방탄소년단,YOU NEVER WALK ALONE
81,Love poem,아이유,Love poem
82,깡,비,MY LIFE愛
83,비가 내린다,닐로(Nilo),About Me
84,우리 만남이,폴킴,"정규 2집 '마음, 둘'"
85,HIP,마마무 (Mamamoo),reality in BLACK
86,Stuck with U,Ariana Grande,Stuck with U
87,안녕,폴킴,호텔 델루나 OST Part.10
88,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
89,좋아한다니까,염따,좋아한다니까
90,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽 (MAKTUB),Red Moon : SUPERNOVA
91,Welcome,IZ*ONE (아이즈원),Oneiric Diary (幻想日記)
92,Pretty,IZ*ONE (아이즈원),Oneiric Diary (幻想日記)
93,작사가,헤이즈 (Heize),Lyricist
94,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
95,보라빛 엽서,임영웅,내일은 미스터트롯 레전드 미션 베스트
96,With*One,IZ*ONE (아이즈원),Oneiric Diary (幻想日記)
97,니가 왜 거기서 나와 (Narr. 고은아),영탁,니가 왜 거기서 나와
98,밤이 깊었네 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 OST Part 10
99,Lonely Night,권진아,슬기로운 의사생활 OST Part 1
100,Rococo,IZ*ONE (아이즈원),Oneiric Diary (幻想日記)
